STATUS								USER				MODIFIER

FOR_SEND_INVITATION						SENDING_SERVICE			JSON_GETTER_SERVICE
FOR_SEND_REPLY							SENDING_SERVICE			JSON_UPDATER_SERVICE
SENT								JSON_UPDATER_SERVICE		SENDING_SERVICE
SUCCESSFUL_DELIVERY						JSON_UPDATER_SERVICE		SENDING_SERVICE

RESULT_ERROR_GENERIC_FAILURE					JSON_UPDATER_SERVICE		SENDING_SERVICE
RESULT_ERROR_RADIO_OFF						JSON_UPDATER_SERVICE		SENDING_SERVICE
RESULT_ERROR_NULL_PDU						JSON_UPDATER_SERVICE		SENDING_SERVICE
UNSUCCESSFUL_DELIVERY						JSON_UPDATER_SERVICE		SENDING_SERVICE

REPLY_RECEIVED							JSON_UPDATER_SERVICE		BROADCASTRECEIVER
